_id,Calendar Year,Hospital and Health Service (2014),Facility ID,Facility Name,Mothers,Babies
259,1997,Darling Downs,92,Dalby,197,198
260,1997,Darling Downs,93,Goondiwindi,102,102
261,1997,Darling Downs,94,Inglewood,1,1
262,1997,Darling Downs,95,Jandowae,3,3
263,1997,Darling Downs,97,Miles,43,45
264,1997,Darling Downs,98,Millmerran,5,5
265,1997,Darling Downs,100,Stanthorpe,107,108
266,1997,Darling Downs,101,Tara,6,6
267,1997,Darling Downs,102,Taroom,15,15
268,1997,Darling Downs,103,Texas,1,1
269,1997,Darling Downs,104,Toowoomba,1362,1389
270,1997,Darling Downs,105,Warwick,266,266
271,1997,Gold Coast,50,Gold Coast,2283,2303
272,1997,Home Births,99999,na,212,213
273,1997,Mackay,171,Clermont,36,36
274,1997,Mackay,172,Mackay,955,976
275,1997,Mackay,173,Moranbah,34,34
276,1997,Mackay,174,Proserpine,211,211
277,1997,Mackay,176,Dysart,36,36
278,1997,Mackay,192,Bowen,41,41
279,1997,Mackay,194,Collinsville,1,1
280,1997,Mackay,995,Mackay Base Hospital Birthing Centre,88,88
281,1997,Mater Public Hospitals,3,Mater Mothers',4715,4804
282,1997,Metro North,9,Royal Women's,4076,4192
283,1997,Metro North,16,Redcliffe,1108,1116
284,1997,Metro North,30,Caboolture,1313,1324
285,1997,Metro North,46,Kilcoy,23,23
286,1997,Metro North,994,RBWH Birthing Centre,197,197
287,1997,Metro South,22,Queen Elizabeth II,1,1
288,1997,Metro South,25,Marie Rose Centre (Dunwich),6,6
289,1997,Metro South,28,Redland,3,3
290,1997,Metro South,29,Logan,2518,2546
291,1997,Metro South,41,Beaudesert,304,309
292,1997,North West,243,Cloncurry,9,9
293,1997,North West,246,Mount Isa,600,603
294,1997,North West,247,Normanton,2,2
295,1997,North West,252,Doomadgee,1,1
296,1997,Private,99999,na,12726,12984
297,1997,South West,112,Charleville,72,73
298,1997,South West,113,Cunnamulla,16,16
299,1997,South West,116,Mitchell,9,9
300,1997,South West,118,Quilpie,7,7
301,1997,South West,119,Roma,150,152
302,1997,South West,120,St George,73,73
303,1997,Sunshine Coast,43,Caloundra,3,3
304,1997,Sunshine Coast,48,Maleny,29,29
305,1997,Sunshine Coast,49,Nambour,2007,2037
306,1997,Sunshine Coast,68,Gympie,396,397
307,1997,Torres and Cape,216,Cooktown,15,15
308,1997,Torres and Cape,226,Thursday Island,205,205
309,1997,Torres and Cape,228,Weipa,3,3
310,1997,Torres and Cape,945,Duan Island PHC,1,1
311,1997,Townsville,191,Ayr,171,171
312,1997,Townsville,193,Charters Towers,59,59
313,1997,Townsville,196,Ingham,148,148
314,1997,Townsville,197,Joyce Palmer HS,22,23
315,1997,Townsville,199,Kirwan,1641,1669
316,1997,Townsville,244,Hughenden,8,8
317,1997,Townsville,248,Richmond,2,2
318,1997,Townsville,916,Magnetic Island HSC,2,2
319,1997,Unknown,999,Unknown,2,3
320,1997,West Moreton,15,Ipswich,1652,1670
321,1997,West Moreton,42,Boonah,1,1
322,1997,West Moreton,45,Gatton,14,15
323,1997,Wide Bay,62,Bundaberg,847,856
324,1997,Wide Bay,64,Childers,1,1
325,1997,Wide Bay,65,Eidsvold,1,1
326,1997,Wide Bay,66,Gayndah,5,5
